nc_id,source_family,source_file,source_section_or_json_path,modal_strength,normative_clause,atomic_requirement,evidence_excerpt,extraction_rationale,lineage_status,predecessor_nc_ids,confidence
NC-0013,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[10]/path,,/api/conflicts/:conflictId/resolve,/api/conflicts/:conflictId/resolve,/api/conflicts/:conflictId/resolve,Extracted programmatically,NEW,,MEDIUM
NC-0014,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[10]/purpose,,Apply explicit resolution decision.,Apply explicit resolution decision.,Apply explicit resolution decision.,Extracted programmatically,NEW,,MEDIUM
NC-0015,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[11],,"{""method"": ""POST"", ""path"": ""/api/corrections"", ""purpose"": ""Create source-aware correction request.""}","{""method"": ""POST"", ""path"": ""/api/corrections"", ""purpose"": ""Create source-aware correction request.""}","{""method"": ""POST"", ""path"": ""/api/corrections"", ""purpose"": ""Create source-aware correction request.""}",Extracted programmatically,NEW,,MEDIUM
NC-0016,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[11]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0017,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[11]/path,,/api/corrections,/api/corrections,/api/corrections,Extracted programmatically,NEW,,MEDIUM
NC-0018,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[11]/purpose,,Create source-aware correction request.,Create source-aware correction request.,Create source-aware correction request.,Extracted programmatically,NEW,,MEDIUM
NC-0019,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[12],,"{""method"": ""GET"", ""path"": ""/api/privacy/data-map"", ""purpose"": ""Show stored data categories and connected sources.""}","{""method"": ""GET"", ""path"": ""/api/privacy/data-map"", ""purpose"": ""Show stored data categories and connected sources.""}","{""method"": ""GET"", ""path"": ""/api/privacy/data-map"", ""purpose"": ""Show stored data categories and connected sources.""}",Extracted programmatically,NEW,,MEDIUM
NC-0020,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[12]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0021,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[12]/path,,/api/privacy/data-map,/api/privacy/data-map,/api/privacy/data-map,Extracted programmatically,NEW,,MEDIUM
NC-0022,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[12]/purpose,,Show stored data categories and connected sources.,Show stored data categories and connected sources.,Show stored data categories and connected sources.,Extracted programmatically,NEW,,MEDIUM
NC-0023,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[13],,"{""method"": ""POST"", ""path"": ""/api/privacy/actions"", ""purpose"": ""Request supported delete/disconnect governance action.""}","{""method"": ""POST"", ""path"": ""/api/privacy/actions"", ""purpose"": ""Request supported delete/disconnect governance action.""}","{""method"": ""POST"", ""path"": ""/api/privacy/actions"", ""purpose"": ""Request supported delete/disconnect governance action.""}",Extracted programmatically,NEW,,MEDIUM
NC-0024,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[13]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0025,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[13]/path,,/api/privacy/actions,/api/privacy/actions,/api/privacy/actions,Extracted programmatically,NEW,,MEDIUM
NC-0026,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[13]/purpose,,Request supported delete/disconnect governance action.,Request supported delete/disconnect governance action.,Request supported delete/disconnect governance action.,Extracted programmatically,NEW,,MEDIUM
NC-0027,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[14],,"{""method"": ""POST"", ""path"": ""/api/mentor/query"", ""purpose"": ""Run authorization-scoped, provenance-aware grounded mentor query.""}","{""method"": ""POST"", ""path"": ""/api/mentor/query"", ""purpose"": ""Run authorization-scoped, provenance-aware grounded mentor query.""}","{""method"": ""POST"", ""path"": ""/api/mentor/query"", ""purpose"": ""Run authorization-scoped, provenance-aware grounded mentor query.""}",Extracted programmatically,NEW,,MEDIUM
NC-0028,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[14]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0029,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[14]/path,,/api/mentor/query,/api/mentor/query,/api/mentor/query,Extracted programmatically,NEW,,MEDIUM
NC-0030,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[14]/purpose,,"Run authorization-scoped, provenance-aware grounded mentor query.","Run authorization-scoped, provenance-aware grounded mentor query.","Run authorization-scoped, provenance-aware grounded mentor query.",Extracted programmatically,NEW,,MEDIUM
NC-0031,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[1],,"{""method"": ""GET"", ""path"": ""/api/student/profile"", ""purpose"": ""Read tenant-scoped canonical profile.""}","{""method"": ""GET"", ""path"": ""/api/student/profile"", ""purpose"": ""Read tenant-scoped canonical profile.""}","{""method"": ""GET"", ""path"": ""/api/student/profile"", ""purpose"": ""Read tenant-scoped canonical profile.""}",Extracted programmatically,NEW,,MEDIUM
NC-0032,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[1]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0033,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[1]/path,,/api/student/profile,/api/student/profile,/api/student/profile,Extracted programmatically,NEW,,MEDIUM
NC-0034,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[1]/purpose,,Read tenant-scoped canonical profile.,Read tenant-scoped canonical profile.,Read tenant-scoped canonical profile.,Extracted programmatically,NEW,,MEDIUM
NC-0035,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[2],,"{""method"": ""PATCH"", ""path"": ""/api/student/profile"", ""purpose"": ""Update permitted student-controlled profile fields.""}","{""method"": ""PATCH"", ""path"": ""/api/student/profile"", ""purpose"": ""Update permitted student-controlled profile fields.""}","{""method"": ""PATCH"", ""path"": ""/api/student/profile"", ""purpose"": ""Update permitted student-controlled profile fields.""}",Extracted programmatically,NEW,,MEDIUM
NC-0036,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[2]/method,,PATCH,PATCH,PATCH,Extracted programmatically,NEW,,MEDIUM
NC-0037,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[2]/path,,/api/student/profile,/api/student/profile,/api/student/profile,Extracted programmatically,NEW,,MEDIUM
NC-0038,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[2]/purpose,,Update permitted student-controlled profile fields.,Update permitted student-controlled profile fields.,Update permitted student-controlled profile fields.,Extracted programmatically,NEW,,MEDIUM
NC-0039,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[3],,"{""method"": ""GET"", ""path"": ""/api/onboarding/state"", ""purpose"": ""Read progressive onboarding state.""}","{""method"": ""GET"", ""path"": ""/api/onboarding/state"", ""purpose"": ""Read progressive onboarding state.""}","{""method"": ""GET"", ""path"": ""/api/onboarding/state"", ""purpose"": ""Read progressive onboarding state.""}",Extracted programmatically,NEW,,MEDIUM
NC-0040,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[3]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0041,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[3]/path,,/api/onboarding/state,/api/onboarding/state,/api/onboarding/state,Extracted programmatically,NEW,,MEDIUM
NC-0042,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[3]/purpose,,Read progressive onboarding state.,Read progressive onboarding state.,Read progressive onboarding state.,Extracted programmatically,NEW,,MEDIUM
NC-0043,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[4],,"{""method"": ""POST"", ""path"": ""/api/uploads"", ""purpose"": ""Create validated upload and Document record.""}","{""method"": ""POST"", ""path"": ""/api/uploads"", ""purpose"": ""Create validated upload and Document record.""}","{""method"": ""POST"", ""path"": ""/api/uploads"", ""purpose"": ""Create validated upload and Document record.""}",Extracted programmatically,NEW,,MEDIUM
NC-0044,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[4]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0045,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[4]/path,,/api/uploads,/api/uploads,/api/uploads,Extracted programmatically,NEW,,MEDIUM
NC-0046,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[4]/purpose,,Create validated upload and Document record.,Create validated upload and Document record.,Create validated upload and Document record.,Extracted programmatically,NEW,,MEDIUM
NC-0047,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[5],,"{""method"": ""GET"", ""path"": ""/api/uploads/:documentId"", ""purpose"": ""Read processing/review state.""}","{""method"": ""GET"", ""path"": ""/api/uploads/:documentId"", ""purpose"": ""Read processing/review state.""}","{""method"": ""GET"", ""path"": ""/api/uploads/:documentId"", ""purpose"": ""Read processing/review state.""}",Extracted programmatically,NEW,,MEDIUM
NC-0048,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[5]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0049,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[5]/path,,/api/uploads/:documentId,/api/uploads/:documentId,/api/uploads/:documentId,Extracted programmatically,NEW,,MEDIUM
NC-0050,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[5]/purpose,,Read processing/review state.,Read processing/review state.,Read processing/review state.,Extracted programmatically,NEW,,MEDIUM
NC-0051,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[6],,"{""method"": ""GET"", ""path"": ""/api/uploads/:documentId/candidates"", ""purpose"": ""Read extracted candidate facts.""}","{""method"": ""GET"", ""path"": ""/api/uploads/:documentId/candidates"", ""purpose"": ""Read extracted candidate facts.""}","{""method"": ""GET"", ""path"": ""/api/uploads/:documentId/candidates"", ""purpose"": ""Read extracted candidate facts.""}",Extracted programmatically,NEW,,MEDIUM
NC-0052,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[6]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0053,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[6]/path,,/api/uploads/:documentId/candidates,/api/uploads/:documentId/candidates,/api/uploads/:documentId/candidates,Extracted programmatically,NEW,,MEDIUM
NC-0054,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[6]/purpose,,Read extracted candidate facts.,Read extracted candidate facts.,Read extracted candidate facts.,Extracted programmatically,NEW,,MEDIUM
NC-0055,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[7],,"{""method"": ""POST"", ""path"": ""/api/reviews/:reviewSessionId/submit"", ""purpose"": ""Confirm, edit, or reject candidates atomically.""}","{""method"": ""POST"", ""path"": ""/api/reviews/:reviewSessionId/submit"", ""purpose"": ""Confirm, edit, or reject candidates atomically.""}","{""method"": ""POST"", ""path"": ""/api/reviews/:reviewSessionId/submit"", ""purpose"": ""Confirm, edit, or reject candidates atomically.""}",Extracted programmatically,NEW,,MEDIUM
NC-0056,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[7]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0057,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[7]/path,,/api/reviews/:reviewSessionId/submit,/api/reviews/:reviewSessionId/submit,/api/reviews/:reviewSessionId/submit,Extracted programmatically,NEW,,MEDIUM
NC-0058,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[7]/purpose,,"Confirm, edit, or reject candidates atomically.","Confirm, edit, or reject candidates atomically.","Confirm, edit, or reject candidates atomically.",Extracted programmatically,NEW,,MEDIUM
NC-0059,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[8],,"{""method"": ""GET"", ""path"": ""/api/facts/:factId/provenance"", ""purpose"": ""Explain source/evidence/trust/freshness.""}","{""method"": ""GET"", ""path"": ""/api/facts/:factId/provenance"", ""purpose"": ""Explain source/evidence/trust/freshness.""}","{""method"": ""GET"", ""path"": ""/api/facts/:factId/provenance"", ""purpose"": ""Explain source/evidence/trust/freshness.""}",Extracted programmatically,NEW,,MEDIUM
NC-0060,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[8]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0061,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[8]/path,,/api/facts/:factId/provenance,/api/facts/:factId/provenance,/api/facts/:factId/provenance,Extracted programmatically,NEW,,MEDIUM
NC-0062,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[8]/purpose,,Explain source/evidence/trust/freshness.,Explain source/evidence/trust/freshness.,Explain source/evidence/trust/freshness.,Extracted programmatically,NEW,,MEDIUM
NC-0063,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[9],,"{""method"": ""GET"", ""path"": ""/api/conflicts"", ""purpose"": ""List authorized unresolved conflict cases.""}","{""method"": ""GET"", ""path"": ""/api/conflicts"", ""purpose"": ""List authorized unresolved conflict cases.""}","{""method"": ""GET"", ""path"": ""/api/conflicts"", ""purpose"": ""List authorized unresolved conflict cases.""}",Extracted programmatically,NEW,,MEDIUM
NC-0064,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[9]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0065,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[9]/path,,/api/conflicts,/api/conflicts,/api/conflicts,Extracted programmatically,NEW,,MEDIUM
NC-0066,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[9]/purpose,,List authorized unresolved conflict cases.,List authorized unresolved conflict cases.,List authorized unresolved conflict cases.,Extracted programmatically,NEW,,MEDIUM
NC-0067,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[0],,Every tenant-owned record is scoped by organizationId.,Every tenant-owned record is scoped by organizationId.,Every tenant-owned record is scoped by organizationId.,Extracted programmatically,NEW,,MEDIUM
NC-0068,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[1],,Server resolves authorization scope; client-supplied organizationId is never blindly trusted.,Server resolves authorization scope; client-supplied organizationId is never blindly trusted.,Server resolves authorization scope; client-supplied organizationId is never blindly trusted.,Extracted programmatically,NEW,,MEDIUM
NC-0069,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[2],,"AI extraction creates CandidateFact objects, never canonical truth directly.","AI extraction creates CandidateFact objects, never canonical truth directly.","AI extraction creates CandidateFact objects, never canonical truth directly.",Extracted programmatically,NEW,,MEDIUM
NC-0070,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[3],,Canonical facts retain provenance and evidence linkage.,Canonical facts retain provenance and evidence linkage.,Canonical facts retain provenance and evidence linkage.,Extracted programmatically,NEW,,MEDIUM
NC-0071,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[4],,"Unknown, missing, stale, conflicting, and unverified states are distinct.","Unknown, missing, stale, conflicting, and unverified states are distinct.","Unknown, missing, stale, conflicting, and unverified states are distinct.",Extracted programmatically,NEW,,MEDIUM
NC-0072,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[5],,Unresolved conflicts are not silently overwritten.,Unresolved conflicts are not silently overwritten.,Unresolved conflicts are not silently overwritten.,Extracted programmatically,NEW,,MEDIUM
NC-0073,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[6],,Student correction behavior is source-aware.,Student correction behavior is source-aware.,Student correction behavior is source-aware.,Extracted programmatically,NEW,,MEDIUM
NC-0074,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[7],,AI Mentor retrieves only authorized context.,AI Mentor retrieves only authorized context.,AI Mentor retrieves only authorized context.,Extracted programmatically,NEW,,MEDIUM
NC-0075,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[8],,Unconfirmed candidate facts are not presented as settled truth.,Unconfirmed candidate facts are not presented as settled truth.,Unconfirmed candidate facts are not presented as settled truth.,Extracted programmatically,NEW,,MEDIUM
NC-0076,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/non_negotiable_invariants[9],,No evidence means the AI must disclose insufficient data rather than fabricate.,No evidence means the AI must disclose insufficient data rather than fabricate.,No evidence means the AI must disclose insufficient data rather than fabricate.,Extracted programmatically,NEW,,MEDIUM
NC-0077,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/scope,,Frozen MVP P0 trustworthy student loop,Frozen MVP P0 trustworthy student loop,Frozen MVP P0 trustworthy student loop,Extracted programmatically,NEW,,MEDIUM
NC-0078,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0],,"{""method"": ""POST"", ""path"": ""/api/uploads"", ""auth"": ""STUDENT"", ""request"": {""file"": ""multipart binary"", ""purpose"": ""optional enum/string"", ""clientRequestId"": ""string""}, ""response_201"": {""documentId"": ""id"", ""status"": ""VALIDATING"", ""reviewRequired"": true}, ""errors"": [""400 INVALID_FILE"", ""413 FILE_TOO_LARGE"", ""415 UNSUPPORTED_MEDIA_TYPE"", ""409 IDEMPOTENCY_CONFLICT""]}","{""method"": ""POST"", ""path"": ""/api/uploads"", ""auth"": ""STUDENT"", ""request"": {""file"": ""multipart binary"", ""purpose"": ""optional enum/string"", ""clientRequestId"": ""string""}, ""response_201"": {""documentId"": ""id"", ""status"": ""VALIDATING"", ""reviewRequired"": true}, ""errors"": [""400 INVALID_FILE"", ""413 FILE_TOO_LARGE"", ""415 UNSUPPORTED_MEDIA_TYPE"", ""409 IDEMPOTENCY_CONFLICT""]}","{""method"": ""POST"", ""path"": ""/api/uploads"", ""auth"": ""STUDENT"", ""request"": {""file"": ""multipart binary"", ""purpose"": ""optional enum/string"", ""clientRequestId"": ""string""}, ""response_201"": {""documentId"": ""i",Extracted programmatically,NEW,,MEDIUM
NC-0079,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/auth,,STUDENT,STUDENT,STUDENT,Extracted programmatically,NEW,,MEDIUM
NC-0080,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/errors[0],,400 INVALID_FILE,400 INVALID_FILE,400 INVALID_FILE,Extracted programmatically,NEW,,MEDIUM
NC-0081,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/errors[1],,413 FILE_TOO_LARGE,413 FILE_TOO_LARGE,413 FILE_TOO_LARGE,Extracted programmatically,NEW,,MEDIUM
NC-0082,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/errors[2],,415 UNSUPPORTED_MEDIA_TYPE,415 UNSUPPORTED_MEDIA_TYPE,415 UNSUPPORTED_MEDIA_TYPE,Extracted programmatically,NEW,,MEDIUM
NC-0083,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/errors[3],,409 IDEMPOTENCY_CONFLICT,409 IDEMPOTENCY_CONFLICT,409 IDEMPOTENCY_CONFLICT,Extracted programmatically,NEW,,MEDIUM
NC-0084,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
NC-0085,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/path,,/api/uploads,/api/uploads,/api/uploads,Extracted programmatically,NEW,,MEDIUM
NC-0086,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/request/clientRequestId,,string,string,string,Extracted programmatically,NEW,,MEDIUM
NC-0087,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/request/file,,multipart binary,multipart binary,multipart binary,Extracted programmatically,NEW,,MEDIUM
NC-0088,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/request/purpose,,optional enum/string,optional enum/string,optional enum/string,Extracted programmatically,NEW,,MEDIUM
NC-0089,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/response_201/documentId,,id,id,id,Extracted programmatically,NEW,,MEDIUM
NC-0090,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/response_201/reviewRequired,,True,True,True,Extracted programmatically,NEW,,MEDIUM
NC-0091,Pass2,Academic_Universe_MVP_Technical_Contract_v1.0_Pass2.json,/api_contracts[0]/response_201/status,,VALIDATING,VALIDATING,VALIDATING,Extracted programmatically,NEW,,MEDIUM
